User Name,opetridean
Domain Name,GLOBAL
OS Name ,Microsoft Windows 7 Enterprise 
OS Version ,6.1.7601
Service Pack ,1.0
Computer Name ,CLUJOPETRIDEA02
Model ,Studio XPS 8100
CPU ,Intel(R) Core(TM) i7 CPU         860  @ 2.80GHz
Serial Number / Service Tag ,9LVHT4J
RAM Capacity (MB),2048
RAM Capacity (MB),2048
RAM Capacity (MB),4096
RAM Capacity (MB),4096
CD\DVD Drive ,HL-DT-ST DVD+-RW GH50N
IPV4 ,10.111.16.200, IPV6 ,fe80::78b6:5ba9:2cb6:e8ab
IPV4 ,192.168.124.1, IPV6 ,fe80::b5b3:f9f3:6ea1:8e4e
IPV4 ,192.168.254.1, IPV6 ,fe80::f44d:6d52:1050:21bf
MAC Address ,B8:AC:6F:9D:27:AD

MAC Address ,00:50:56:C0:00:01

MAC Address ,00:50:56:C0:00:08

Drive Letter ,
Capacity Space (GB) ,9.76524353027344E-02
Free Space (GB) ,7.01789855957031E-02
File System ,NTFS

Drive Letter ,C:
Capacity Space (GB) ,146.386714935303
Free Space (GB) ,41.921947479248
File System ,NTFS

Drive Letter ,D:
Capacity Space (GB) ,785.026363372803
Free Space (GB) ,730.269428253174
File System ,NTFS

Drive Letter ,
Capacity Space (GB) ,
Free Space (GB) ,
File System ,

Drive Letter ,
Capacity Space (GB) ,
Free Space (GB) ,
File System ,

Drive Letter ,
Capacity Space (GB) ,
Free Space (GB) ,
File System ,

Drive Letter ,
Capacity Space (GB) ,
Free Space (GB) ,
File System ,

Drive Letter ,E:
Capacity Space (GB) ,
Free Space (GB) ,
File System ,

Volume ,C:
Serial Number ,980746FF
Volume ,D:
Serial Number ,249E14A2
Volume ,E:
Serial Number ,
Device ,C:
DriveType ,Local Hard Disk
Device ,D:
DriveType ,Local Hard Disk
Device ,E:
DriveType ,Compact Disk

